seq,district_group,district,project_name,available_units,area_seg,price_seg,finish_type,delivery_time,pros,cons
1,市内六区,河北区,中国铁建西派国印,10-50套,"高层,105,125,洋房133停售","一期现房105精装400万左右
125精装500万左右
二期
洋房133平米，停售",毛坯/精装,现房,现房，即买即住即落户，河北区昆一学校，书包房,价格高，可选性低，噪音问题。地铁远
17,市内六区,南开区,启航精英公寓,＞50套,"高层50-70平
高层70-82平
高层85平","高层50-70平：203万-250万
高层70-82平：246—290万
高层85平：280-290万",精装,精装现房,现房可选，便宜,公寓，年限问题，流通性问题
24,环城四区,北辰区,金汇云璟,＞50套,小高：87、99平；洋房97、128平,小高125-165万，洋房157-250万,精装,2025-12-31 00:00:00,价格合适，准现房，产品可选,开发商之前为金侨，出现过资金问题，项目品质不一定保障
28,环城四区,东丽区,天骥智谷,＞50套,高层：83/92/113㎡,"83㎡：58-60万
92㎡：65-70万
113㎡：71-80万",毛坯,现房,东丽湖环境不错，价格便宜，可选,四大湖众所周知，卖了N年还有房，配套一般
118,市内六区,南开区,保盈家园,10-50套,洋房91㎡、123㎡,"91平米的300万起
123平米的453万起",毛坯,现房,价格便宜，现房,还迁房品质，户型一般
36,环城四区,津南区,四季春晓,＞50套,洋房：78-115㎡,洋房78平126-140万 101平:170-180万 115平:185-195万,毛坯,2025.6.30,便宜，海教园,隔壁颐景园啊，墓地，海教园最南侧，阳光城 金科难兄难弟了
2,市内六区,河北区,中国铁建公馆189,10-50套,平层53平米/56平米/82平米101平米  loft53平米/56平米/,"平层55平63万起
平层82平79万起
平层100平99万起
loft53平67万起
loft56平74万起",精装,现房,户型多，现房。,公寓，年限问题，流通性问题
3,市内六区,河北区,北宁公元,＞50套,高层/88/97/106/119/130㎡," 88两室中户（210～220万）【剩2层，14层18层，顶层】
106边户（260万）【剩1/2/顶】
 97平米 中户（250～264）万(剩余4/14/18/20层）
119平米  银角（310万）万（剩余6/13/14/18/20/顶）
130平米  金角（350万）万 可选",毛坯,现房,价格便宜，地铁近，现房,可选性低，产品差，之前天房项目
4,市内六区,河东区,中海·城市广场·钻石湾,＞50套,跃层：310平米，公寓60平米,跃层310平米：1400万 公寓60平米：100-180万,精装/毛坯,现房/2023年6月底,现房可选，海河景观资源，大户型,公寓，年限问题，流通性问题
5,市内六区,河东区,嘉里·雅颂台,＞50套,高层：120/170/180/208平米,高层120平米：430-450万 高层170平米630-640万 高层180平米：730-740万 高层208平米880-1100万,精装,2025年交付,海河一线景观，周边配套成熟，产品不错，改善,适用于南方风格，改善为主，价格高
